layer,p_exponent,conditional_J_exponent,J_exponent,route_rms_exponent,remaining_rms_exponent,total_rms_exponent,switches_alpha_min,switches_alpha_1
1,0.937868461188916,0.024551448809688438,0.9624199099985915,0.48120995499929575,0.9994273197306794,0.48475283924539897,46,2187
2,0.9414439723436173,-0.018940105374519924,0.9225038669690849,0.46125193348454246,0.8618874257472195,0.5396760660514927,90,4406
3,0.9210870876654851,0.03995636014217835,0.9610434478075177,0.48052172390375886,0.6145666576706033,0.5126316818723369,121,5662
4,0.929202360916616,0.012366823026196211,0.9415691839427819,0.47078459197139094,0.509536292157021,0.4773132284420403,149,7128
5,0.8992929070464293,-0.006992058320954646,0.8923008487254529,0.44615042436272645,0.4848075881873737,0.4528907401535546,236,10343
6,0.8873781774784274,-0.014313183205469251,0.8730649942729233,0.43653249713646164,0.45965646943516836,0.4418103339803715,306,12083
7,0.8207278667710515,0.0022786563279994726,0.8230065230990373,0.41150326154951866,0.4501663087554673,0.418812050767806,465,14305
8,0.8106467174904766,0.010298893557713957,0.8209456110481884,0.4104728055240942,0.4316059464692884,0.41603748172051175,488,14376
9,0.812123849981603,0.003424553626828527,0.8155484036084053,0.40777420180420265,0.4241991937726994,0.41268115363044383,487,14999
10,0.7895270362790392,0.00834657323745262,0.7978736095164647,0.39893680475823234,0.4186332733984693,0.40511198505796103,560,15118
11,0.768057650640331,-0.0016009219847874256,0.7664567286555354,0.3832283643277677,0.4140572182417907,0.39146417503924313,669,17054
12,0.761923428212254,0.009907699105763999,0.7718311273180021,0.38591556365900104,0.40603015214981675,0.39226246746873794,726,17635
13,0.7505898566442061,0.017357231329911085,0.7679470879741116,0.3839735439870558,0.4001345284299502,0.3886750671057609,866,20112
14,0.7395799946710409,0.009853259274085785,0.7494332539451117,0.37471662697255587,0.4011684966435682,0.3835072838490848,861,19052
15,0.7167067292171448,0.006254426948309025,0.7229611561654434,0.3614805780827217,0.39732147987639904,0.37189828968396393,1103,22397
16,0.6919879397333167,0.00395106198445983,0.6959390017177696,0.3479695008588848,0.3910463881868764,0.3601488126793887,1352,24872
17,0.6925522075725065,0.010418380895179283,0.7029705884676761,0.35148529423383806,0.38468438399128724,0.36256635437504836,1328,24113
18,0.6882243244395245,0.006223696625070489,0.6944480210645884,0.3472240105322942,0.3834528329990796,0.35914136957049686,1496,26788
19,0.6596237637921745,0.01397060612825975,0.6735943699204252,0.3367971849602126,0.3795931157579249,0.3508305348647533,1906,30309
20,0.6508739897625041,0.010644240018117848,0.6615182297806141,0.33075911489030707,0.36977027749572117,0.3448643473187893,1985,30255
21,0.6396226036105881,0.007756561352603973,0.6473791649633025,0.32368958248165125,0.35379718791580417,0.3347819563957683,2230,32804
22,0.6233274671080593,0.036194129089579294,0.6595215961976537,0.32976079809882686,0.39465936576415644,0.36322033436690565,2457,33441
23,0.6105467777257111,0.013258054633313412,0.6238048323590603,0.31190241617953013,0.3616753981114995,0.32872274325661216,2904,37554
24,0.594791384947169,0.008177047854068966,0.6029684328012525,0.3014842164006262,0.3436403616619741,0.3164957298806728,3260,39628
25,0.5751874818397907,0.005210079228428631,0.5803975610682046,0.2901987805341023,0.344650033810354,0.3101001492889562,3813,43007
26,0.5697828748865431,0.0021857460201078474,0.5719686209067231,0.28598431045336153,0.33195365767492374,0.3052995381709165,3563,39269
27,0.554196347758752,0.004198589405080658,0.5583949371639335,0.27919746858196676,0.330038842212723,0.2989258817433101,3871,40207
28,0.5367038132345145,0.007990636295843321,0.5446944495302923,0.27234722476514617,0.3271160180614158,0.293487111558978,4423,42313
29,0.5270256170273406,0.015352923219618553,0.5423785402469413,0.27118927012347066,0.3239668670322386,0.29344961036977507,4232,39058
30,0.5289194130572508,0.011564446460322175,0.5404838595176181,0.27024192975880906,0.3249058510357644,0.2940098996460916,4315,40187
